Record_ID,Date,Time,Zone,Area,Mobility_Demand,Trip_Count,Weather_Condition,Available_Vehicles,Delay_Minutes,Mode_of_Transportation,Latitude,Longitude,Possible_Reason
43,2025-01-15,08:15:00,West,Rajajinagar,64.1,49,Sunny,73,1.3,Car,12.9915,77.5525,Typical morning peak-hour commuter demand
44,2025-01-15,14:30:00,South,HSR Layout,44.9,41,Foggy,88,0.9,Bus,12.9121,77.6446,Afternoon demand slightly reduced due to foggy conditions
45,2025-01-15,19:15:00,North,Malleshwaram,83.8,77,Cloudy,66,2.1,Bus,13.0035,77.5709,Typical evening peak-hour commuter demand
46,2025-01-16,08:15:00,Central,Richmond Town,104.5,88,Sunny,54,3.0,Metro,12.9634,77.6041,Typical morning peak-hour commuter demand
47,2025-01-16,14:30:00,South,HSR Layout,44.4,39,Sunny,93,0.9,Car,12.9121,77.6446,Normal afternoon demand under sunny conditions
48,2025-01-16,19:15:00,East,Marathahalli,115.9,99,Cloudy,37,5.6,Bus,12.9591,77.6974,Typical evening peak-hour commuter demand
49,2025-01-17,08:15:00,South,Jayanagar,88.6,79,Rainy,68,2.4,Car,12.9308,77.5838,Morning travel demand increased due to rainy weather
50,2025-01-17,14:30:00,South,HSR Layout,46.1,35,Sunny,88,0.8,Car,12.9121,77.6446,Normal afternoon demand under sunny conditions
51,2025-01-17,19:15:00,North,Yelahanka,70.9,62,Foggy,70,1.9,Car,13.1007,77.5963,Evening demand slightly reduced due to foggy conditions
52,2025-01-18,08:15:00,Central,Richmond Town,112.5,87,Sunny,44,3.8,Metro,12.9634,77.6041,Typical morning peak-hour commuter demand
53,2025-01-18,14:30:00,Central,MG Road,60.7,55,Cloudy,77,1.3,Bus,12.9758,77.6045,Normal afternoon demand under cloudy conditions
54,2025-01-18,19:15:00,South,Jayanagar,73.2,57,Foggy,78,1.7,Metro,12.9308,77.5838,Evening demand slightly reduced due to foggy conditions
55,2025-01-19,08:15:00,West,Rajajinagar,68.2,63,Rainy,72,1.5,Metro,12.9915,77.5525,Morning travel demand increased due to rainy weather
56,2025-01-19,14:30:00,North,Malleshwaram,37.1,29,Sunny,93,0.7,Metro,13.0035,77.5709,Normal afternoon demand under sunny conditions
57,2025-01-19,19:15:00,Central,Shivajinagar,127.1,115,Cloudy,38,5.4,Car,12.9857,77.6058,Typical evening peak-hour commuter demand
58,2025-01-20,08:15:00,North,Yelahanka,85.4,66,Rainy,58,2.6,Bike,13.1007,77.5963,Morning travel demand increased due to rainy weather
59,2025-01-20,14:30:00,South,HSR Layout,48.1,40,Rainy,86,0.9,Metro,12.9121,77.6446,Afternoon travel demand increased due to rainy weather
60,2025-01-20,19:15:00,South,Jayanagar,86.2,80,Cloudy,59,2.1,Car,12.9308,77.5838,Typical evening peak-hour commuter demand
61,2025-01-21,08:15:00,Central,MG Road,116.1,90,Sunny,33,6.3,Bus,12.9758,77.6045,Typical morning peak-hour commuter demand
62,2025-01-21,14:30:00,West,Rajajinagar,33.9,26,Sunny,100,0.5,Bus,12.9915,77.5525,Normal afternoon demand under sunny conditions
63,2025-01-21,19:15:00,West,Vijayanagar,59.1,45,Foggy,87,1.0,Bus,12.9719,77.529,Evening demand slightly reduced due to foggy conditions
64,2025-01-22,08:15:00,Central,Richmond Town,101.1,93,Windy,63,3.0,Car,12.9634,77.6041,Morning demand slightly reduced due to windy conditions
65,2025-01-22,14:30:00,Central,Shivajinagar,67.7,51,Rainy,80,1.2,Metro,12.9857,77.6058,Afternoon travel demand increased due to rainy weather
66,2025-01-22,19:15:00,North,Malleshwaram,93.7,86,Rainy,66,2.6,Scooter,13.0035,77.5709,Evening travel demand increased due to rainy weather
67,2025-01-23,08:15:00,Central,MG Road,136.5,119,Rainy,43,5.6,Bike,12.9758,77.6045,Morning travel demand increased due to rainy weather
68,2025-01-23,14:30:00,East,Whitefield,50.3,39,Windy,91,0.8,Car,12.9698,77.75,Afternoon demand slightly reduced due to windy conditions
69,2025-01-23,19:15:00,South,Jayanagar,99.7,86,Rainy,62,3.2,Scooter,12.9308,77.5838,Evening travel demand increased due to rainy weather
70,2025-01-24,08:15:00,South,Koramangala,93.8,83,Cloudy,51,2.7,Metro,12.9352,77.6245,Typical morning peak-hour commuter demand
71,2025-01-24,14:30:00,North,Yelahanka,35.8,28,Cloudy,98,0.6,Metro,13.1007,77.5963,Normal afternoon demand under cloudy conditions
72,2025-01-24,19:15:00,South,Koramangala,108.0,90,Rainy,52,3.2,Bus,12.9352,77.6245,Evening travel demand increased due to rainy weather
73,2025-01-25,08:15:00,North,Hebbal,69.3,59,Sunny,79,1.5,Metro,13.0358,77.597,Typical morning peak-hour commuter demand
74,2025-01-25,14:30:00,East,Whitefield,60.3,53,Rainy,83,1.4,Metro,12.9698,77.75,Afternoon travel demand increased due to rainy weather
75,2025-01-25,19:15:00,Central,Richmond Town,132.7,113,Rainy,27,9.5,Car,12.9634,77.6041,Evening travel demand increased due to rainy weather
76,2025-01-26,08:15:00,South,Koramangala,91.3,83,Cloudy,64,2.7,Metro,12.9352,77.6245,Typical morning peak-hour commuter demand
77,2025-01-26,14:30:00,Central,MG Road,60.9,46,Sunny,83,1.2,Bike,12.9758,77.6045,Normal afternoon demand under sunny conditions
78,2025-01-26,19:15:00,Central,Shivajinagar,117.8,89,Sunny,36,6.3,Metro,12.9857,77.6058,Typical evening peak-hour commuter demand
79,2025-01-27,08:15:00,North,Yelahanka,75.0,62,Rainy,64,2.3,Bus,13.1007,77.5963,Morning travel demand increased due to rainy weather
80,2025-01-27,14:30:00,Central,Richmond Town,60.0,53,Sunny,82,1.3,Bike,12.9634,77.6041,Normal afternoon demand under sunny conditions
81,2025-01-27,19:15:00,North,Yelahanka,73.2,57,Cloudy,67,2.2,Metro,13.1007,77.5963,Typical evening peak-hour commuter demand
82,2025-01-28,08:15:00,East,Indiranagar,106.9,83,Windy,52,3.4,Bike,12.9719,77.6412,Morning demand slightly reduced due to windy conditions
83,2025-01-28,14:30:00,West,Vijayanagar,32.4,25,Cloudy,101,0.6,Bike,12.9719,77.529,Normal afternoon demand under cloudy conditions
84,2025-01-28,19:15:00,North,Malleshwaram,77.3,66,Sunny,68,1.9,Bike,13.0035,77.5709,Typical evening peak-hour commuter demand
85,2025-01-29,08:15:00,East,Whitefield,95.2,84,Windy,55,3.2,Bike,12.9698,77.75,Morning demand slightly reduced due to windy conditions
86,2025-01-29,14:30:00,East,Indiranagar,55.0,45,Sunny,80,1.2,Bus,12.9719,77.6412,Normal afternoon demand under sunny conditions
87,2025-01-29,19:15:00,North,Yelahanka,82.5,72,Cloudy,61,2.2,Metro,13.1007,77.5963,Typical evening peak-hour commuter demand
88,2025-01-30,08:15:00,West,Vijayanagar,58.3,48,Cloudy,77,1.3,Bike,12.9719,77.529,Typical morning peak-hour commuter demand
89,2025-01-30,14:30:00,Central,MG Road,53.4,50,Sunny,86,1.0,Bus,12.9758,77.6045,Normal afternoon demand under sunny conditions
90,2025-01-30,19:15:00,East,Marathahalli,109.9,98,Sunny,46,4.8,Bus,12.9591,77.6974,Typical evening peak-hour commuter demand
91,2025-01-31,08:15:00,West,Rajajinagar,74.9,67,Rainy,64,2.2,Car,12.9915,77.5525,Morning travel demand increased due to rainy weather
92,2025-01-31,14:30:00,South,HSR Layout,47.2,40,Sunny,89,1.0,Car,12.9121,77.6446,Normal afternoon demand under sunny conditions
93,2025-01-31,19:15:00,Central,Shivajinagar,117.8,106,Sunny,47,3.7,Bike,12.9857,77.6058,Typical evening peak-hour commuter demand
94,2025-02-01,08:15:00,West,Nagarbhavi,65.7,62,Rainy,78,1.7,Metro,12.9587,77.5041,Morning travel demand increased due to rainy weather
95,2025-02-01,14:30:00,Central,Shivajinagar,56.5,51,Sunny,78,1.4,Bike,12.9857,77.6058,Normal afternoon demand under sunny conditions
96,2025-02-01,19:15:00,North,Malleshwaram,74.3,57,Sunny,69,2.0,Bus,13.0035,77.5709,Typical evening peak-hour commuter demand
97,2025-02-02,08:15:00,Central,MG Road,133.3,101,Rainy,40,5.9,Car,12.9758,77.6045,Morning travel demand increased due to rainy weather
98,2025-02-02,14:30:00,West,Vijayanagar,31.1,28,Sunny,103,0.5,Car,12.9719,77.529,Normal afternoon demand under sunny conditions
99,2025-02-02,19:15:00,North,Hebbal,79.0,65,Sunny,63,2.0,Bus,13.0358,77.597,Typical evening peak-hour commuter demand
100,2025-02-03,08:15:00,North,Yelahanka,67.1,62,Sunny,81,1.2,Scooter,13.1007,77.5963,Typical morning peak-hour commuter demand
101,2025-02-03,14:30:00,South,Koramangala,46.6,38,Windy,91,0.8,Bus,12.9352,77.6245,Afternoon demand slightly reduced due to windy conditions
102,2025-02-03,19:15:00,North,Yelahanka,70.2,61,Foggy,76,1.8,Metro,13.1007,77.5963,Evening demand slightly reduced due to foggy conditions
103,2025-02-04,08:15:00,East,Marathahalli,100.1,79,Sunny,65,2.6,Bus,12.9591,77.6974,Typical morning peak-hour commuter demand
104,2025-02-04,14:30:00,Central,Richmond Town,57.6,54,Sunny,80,1.2,Scooter,12.9634,77.6041,Normal afternoon demand under sunny conditions
105,2025-02-04,19:15:00,East,Marathahalli,111.0,103,Sunny,47,4.4,Bus,12.9591,77.6974,Typical evening peak-hour commuter demand
106,2025-02-05,08:15:00,West,Rajajinagar,68.2,54,Rainy,78,1.3,Car,12.9915,77.5525,Morning travel demand increased due to rainy weather
107,2025-02-05,14:30:00,Central,MG Road,63.6,58,Cloudy,79,1.4,Car,12.9758,77.6045,Normal afternoon demand under cloudy conditions
108,2025-02-05,19:15:00,East,Whitefield,126.0,117,Rainy,31,6.1,Metro,12.9698,77.75,Evening travel demand increased due to rainy weather
109,2025-02-06,08:15:00,East,Whitefield,121.3,103,Rainy,43,4.0,Car,12.9698,77.75,Morning travel demand increased due to rainy weather
110,2025-02-06,14:30:00,Central,Shivajinagar,52.0,42,Sunny,91,1.0,Metro,12.9857,77.6058,Normal afternoon demand under sunny conditions
111,2025-02-06,19:15:00,North,Malleshwaram,75.2,62,Sunny,78,1.8,Scooter,13.0035,77.5709,Typical evening peak-hour commuter demand
112,2025-02-07,08:15:00,East,Whitefield,96.7,81,Sunny,67,2.1,Car,12.9698,77.75,Typical morning peak-hour commuter demand
113,2025-02-07,14:30:00,Central,Richmond Town,61.2,50,Cloudy,81,1.4,Car,12.9634,77.6041,Normal afternoon demand under cloudy conditions
114,2025-02-07,19:15:00,Central,MG Road,114.3,91,Sunny,46,4.5,Scooter,12.9758,77.6045,Typical evening peak-hour commuter demand
115,2025-02-08,08:15:00,North,Malleshwaram,64.5,54,Foggy,75,1.3,Bike,13.0035,77.5709,Morning demand slightly reduced due to foggy conditions
116,2025-02-08,14:30:00,East,Whitefield,54.9,41,Sunny,88,0.9,Bike,12.9698,77.75,Normal afternoon demand under sunny conditions
117,2025-02-08,19:15:00,North,Yelahanka,74.8,65,Sunny,66,1.6,Car,13.1007,77.5963,Typical evening peak-hour commuter demand
118,2025-02-09,08:15:00,North,Hebbal,76.8,69,Rainy,65,1.8,Car,13.0358,77.597,Morning travel demand increased due to rainy weather
119,2025-02-09,14:30:00,South,Jayanagar,52.1,43,Rainy,83,1.0,Bus,12.9308,77.5838,Afternoon travel demand increased due to rainy weather
120,2025-02-09,19:15:00,South,Koramangala,101.4,84,Rainy,58,2.5,Bike,12.9352,77.6245,Evening travel demand increased due to rainy weather
121,2025-02-10,08:15:00,North,Malleshwaram,71.6,64,Sunny,70,1.9,Scooter,13.0035,77.5709,Typical morning peak-hour commuter demand
122,2025-02-10,14:30:00,East,Marathahalli,54.3,42,Windy,89,1.1,Bike,12.9591,77.6974,Afternoon demand slightly reduced due to windy conditions
123,2025-02-10,19:15:00,North,Malleshwaram,68.0,51,Foggy,69,1.7,Bike,13.0035,77.5709,Evening demand slightly reduced due to foggy conditions
124,2025-02-11,08:15:00,South,HSR Layout,88.0,75,Windy,61,2.3,Bike,12.9121,77.6446,Morning demand slightly reduced due to windy conditions
125,2025-02-11,14:30:00,South,Koramangala,46.7,43,Sunny,94,0.9,Scooter,12.9352,77.6245,Normal afternoon demand under sunny conditions
126,2025-02-11,19:15:00,South,Jayanagar,77.9,68,Windy,69,1.8,Bus,12.9308,77.5838,Evening demand slightly reduced due to windy conditions
127,2025-02-12,08:15:00,South,HSR Layout,95.5,90,Cloudy,59,2.8,Bike,12.9121,77.6446,Typical morning peak-hour commuter demand
128,2025-02-12,14:30:00,North,Yelahanka,42.1,35,Rainy,96,0.8,Metro,13.1007,77.5963,Afternoon travel demand increased due to rainy weather
129,2025-02-12,19:15:00,Central,Richmond Town,127.5,100,Sunny,45,5.4,Car,12.9634,77.6041,Typical evening peak-hour commuter demand
130,2025-02-13,08:15:00,North,Yelahanka,69.5,62,Sunny,70,1.6,Metro,13.1007,77.5963,Typical morning peak-hour commuter demand
131,2025-02-13,14:30:00,Central,Shivajinagar,67.6,58,Rainy,81,1.6,Car,12.9857,77.6058,Afternoon travel demand increased due to rainy weather
132,2025-02-13,19:15:00,North,Malleshwaram,86.5,68,Rainy,60,2.0,Car,13.0035,77.5709,Evening travel demand increased due to rainy weather
133,2025-02-14,08:15:00,West,Nagarbhavi,70.1,58,Rainy,77,1.6,Bus,12.9587,77.5041,Morning travel demand increased due to rainy weather
134,2025-02-14,14:30:00,East,Marathahalli,60.2,56,Cloudy,81,1.1,Metro,12.9591,77.6974,Normal afternoon demand under cloudy conditions
135,2025-02-14,19:15:00,East,Marathahalli,108.4,96,Sunny,53,4.0,Scooter,12.9591,77.6974,Typical evening peak-hour commuter demand
136,2025-02-15,08:15:00,East,Marathahalli,112.3,104,Sunny,52,3.3,Scooter,12.9591,77.6974,Typical morning peak-hour commuter demand
137,2025-02-15,14:30:00,South,HSR Layout,46.2,35,Cloudy,90,1.0,Bus,12.9121,77.6446,Normal afternoon demand under cloudy conditions
138,2025-02-15,19:15:00,South,HSR Layout,91.4,73,Cloudy,64,2.7,Car,12.9121,77.6446,Typical evening peak-hour commuter demand
139,2025-02-16,08:15:00,North,Malleshwaram,75.1,71,Foggy,78,1.4,Scooter,13.0035,77.5709,Morning demand slightly reduced due to foggy conditions
140,2025-02-16,14:30:00,West,Rajajinagar,31.6,29,Cloudy,99,0.6,Bike,12.9915,77.5525,Normal afternoon demand under cloudy conditions
141,2025-02-16,19:15:00,Central,Shivajinagar,120.6,105,Sunny,36,5.3,Metro,12.9857,77.6058,Typical evening peak-hour commuter demand
142,2025-02-17,08:15:00,East,Indiranagar,114.9,104,Cloudy,52,4.3,Bike,12.9719,77.6412,Typical morning peak-hour commuter demand
143,2025-02-17,14:30:00,East,Indiranagar,52.9,49,Sunny,89,1.0,Metro,12.9719,77.6412,Normal afternoon demand under sunny conditions
144,2025-02-17,19:15:00,West,Rajajinagar,67.5,62,Sunny,71,1.5,Metro,12.9915,77.5525,Typical evening peak-hour commuter demand
145,2025-02-18,08:15:00,North,Yelahanka,66.2,62,Sunny,72,1.7,Metro,13.1007,77.5963,Typical morning peak-hour commuter demand
146,2025-02-18,14:30:00,East,Indiranagar,58.0,50,Cloudy,83,1.0,Bike,12.9719,77.6412,Normal afternoon demand under cloudy conditions
147,2025-02-18,19:15:00,Central,Richmond Town,134.0,105,Cloudy,31,6.6,Scooter,12.9634,77.6041,Typical evening peak-hour commuter demand
148,2025-02-19,08:15:00,West,Nagarbhavi,54.0,50,Sunny,87,1.1,Metro,12.9587,77.5041,Typical morning peak-hour commuter demand
149,2025-02-19,14:30:00,West,Nagarbhavi,30.0,28,Cloudy,99,0.6,Metro,12.9587,77.5041,Normal afternoon demand under cloudy conditions
150,2025-02-19,19:15:00,South,Koramangala,98.9,81,Sunny,65,2.4,Bus,12.9352,77.6245,Typical evening peak-hour commuter demand
151,2025-02-20,08:15:00,North,Hebbal,85.3,68,Rainy,57,2.5,Bus,13.0358,77.597,Morning travel demand increased due to rainy weather
152,2025-02-20,14:30:00,North,Hebbal,40.0,32,Sunny,98,0.7,Bike,13.0358,77.597,Normal afternoon demand under sunny conditions
153,2025-02-20,19:15:00,South,Koramangala,104.8,98,Rainy,56,3.4,Metro,12.9352,77.6245,Evening travel demand increased due to rainy weather
154,2025-02-21,08:15:00,Central,Richmond Town,131.1,111,Rainy,23,9.1,Bike,12.9634,77.6041,Morning travel demand increased due to rainy weather
155,2025-02-21,14:30:00,Central,Shivajinagar,49.6,42,Windy,84,1.1,Car,12.9857,77.6058,Afternoon demand slightly reduced due to windy conditions
156,2025-02-21,19:15:00,North,Yelahanka,80.0,65,Cloudy,61,2.1,Bus,13.1007,77.5963,Typical evening peak-hour commuter demand
157,2025-02-22,08:15:00,East,Marathahalli,117.6,100,Cloudy,34,5.7,Bus,12.9591,77.6974,Typical morning peak-hour commuter demand
158,2025-02-22,14:30:00,South,Koramangala,45.0,38,Sunny,94,0.7,Bus,12.9352,77.6245,Normal afternoon demand under sunny conditions
159,2025-02-22,19:15:00,Central,Shivajinagar,121.5,99,Rainy,48,4.7,Car,12.9857,77.6058,Evening travel demand increased due to rainy weather
160,2025-02-23,08:15:00,North,Hebbal,72.8,56,Sunny,76,1.4,Scooter,13.0358,77.597,Typical morning peak-hour commuter demand
161,2025-02-23,14:30:00,East,Whitefield,45.3,39,Foggy,89,1.0,Bus,12.9698,77.75,Afternoon demand slightly reduced due to foggy conditions
162,2025-02-23,19:15:00,North,Yelahanka,75.9,62,Sunny,63,2.0,Bus,13.1007,77.5963,Typical evening peak-hour commuter demand
163,2025-02-24,08:15:00,South,Jayanagar,89.9,78,Cloudy,63,2.8,Car,12.9308,77.5838,Typical morning peak-hour commuter demand
164,2025-02-24,14:30:00,Central,MG Road,58.7,50,Sunny,80,1.2,Scooter,12.9758,77.6045,Normal afternoon demand under sunny conditions
165,2025-02-24,19:15:00,South,Koramangala,90.1,85,Foggy,57,2.9,Bus,12.9352,77.6245,Evening demand slightly reduced due to foggy conditions
166,2025-02-25,08:15:00,West,Rajajinagar,64.3,51,Cloudy,76,1.3,Scooter,12.9915,77.5525,Typical morning peak-hour commuter demand
167,2025-02-25,14:30:00,South,Koramangala,45.9,42,Cloudy,87,0.8,Bike,12.9352,77.6245,Normal afternoon demand under cloudy conditions
168,2025-02-25,19:15:00,South,Jayanagar,89.8,82,Sunny,68,2.5,Bike,12.9308,77.5838,Typical evening peak-hour commuter demand
169,2025-02-26,08:15:00,Central,Shivajinagar,94.4,74,Foggy,60,2.8,Car,12.9857,77.6058,Morning demand slightly reduced due to foggy conditions
170,2025-02-26,14:30:00,East,Marathahalli,48.5,38,Foggy,86,0.9,Car,12.9591,77.6974,Afternoon demand slightly reduced due to foggy conditions
171,2025-02-26,19:15:00,East,Indiranagar,117.8,93,Sunny,45,4.5,Metro,12.9719,77.6412,Typical evening peak-hour commuter demand
172,2025-02-27,08:15:00,North,Hebbal,83.6,79,Rainy,57,2.5,Bike,13.0358,77.597,Morning travel demand increased due to rainy weather
173,2025-02-27,14:30:00,North,Yelahanka,32.8,28,Foggy,99,0.5,Bus,13.1007,77.5963,Afternoon demand slightly reduced due to foggy conditions
174,2025-02-27,19:15:00,North,Yelahanka,77.9,71,Sunny,64,2.0,Scooter,13.1007,77.5963,Typical evening peak-hour commuter demand
175,2025-02-28,08:15:00,East,Indiranagar,100.0,93,Windy,62,3.1,Bike,12.9719,77.6412,Morning demand slightly reduced due to windy conditions
176,2025-02-28,14:30:00,North,Malleshwaram,40.0,31,Sunny,98,0.6,Metro,13.0035,77.5709,Normal afternoon demand under sunny conditions
177,2025-02-28,19:15:00,West,Vijayanagar,65.0,59,Sunny,82,1.2,Car,12.9719,77.529,Typical evening peak-hour commuter demand
178,2025-03-01,08:15:00,North,Malleshwaram,72.7,66,Windy,79,1.5,Bus,13.0035,77.5709,Morning demand slightly reduced due to windy conditions
179,2025-03-01,14:30:00,South,Jayanagar,48.7,44,Rainy,89,0.9,Scooter,12.9308,77.5838,Afternoon travel demand increased due to rainy weather
180,2025-03-01,19:15:00,East,Indiranagar,116.5,90,Sunny,54,3.2,Bike,12.9719,77.6412,Typical evening peak-hour commuter demand
181,2025-03-02,08:15:00,Central,MG Road,120.4,94,Sunny,38,5.3,Metro,12.9758,77.6045,Typical morning peak-hour commuter demand
182,2025-03-02,14:30:00,West,Vijayanagar,32.0,30,Windy,101,0.5,Bus,12.9719,77.529,Afternoon demand slightly reduced due to windy conditions
183,2025-03-02,19:15:00,West,Nagarbhavi,71.2,61,Rainy,69,1.9,Bike,12.9587,77.5041,Evening travel demand increased due to rainy weather
184,2025-03-03,08:15:00,East,Whitefield,100.7,85,Sunny,59,2.8,Bus,12.9698,77.75,Typical morning peak-hour commuter demand
185,2025-03-03,14:30:00,Central,Shivajinagar,58.3,47,Cloudy,82,1.1,Metro,12.9857,77.6058,Normal afternoon demand under cloudy conditions
186,2025-03-03,19:15:00,West,Vijayanagar,68.0,51,Rainy,80,1.6,Bus,12.9719,77.529,Evening travel demand increased due to rainy weather
187,2025-03-04,08:15:00,North,Malleshwaram,72.0,61,Windy,67,1.5,Scooter,13.0035,77.5709,Morning demand slightly reduced due to windy conditions
188,2025-03-04,14:30:00,Central,Richmond Town,58.8,52,Cloudy,85,1.0,Scooter,12.9634,77.6041,Normal afternoon demand under cloudy conditions
189,2025-03-04,19:15:00,Central,Shivajinagar,108.1,100,Sunny,54,3.2,Bike,12.9857,77.6058,Typical evening peak-hour commuter demand
190,2025-03-05,08:15:00,South,Koramangala,84.4,74,Sunny,70,2.3,Car,12.9352,77.6245,Typical morning peak-hour commuter demand
